label,source_global_es,normalized_global_es,user_energy_max_min_ratio,peak_codeword_energy,nonzero_magnitude_cv,implemented_soft_med_penalty_at_tau_0p15,mean_resource_minimum_superposition_distance_squared,mean_resource_q05_nearest_neighbor_distance_squared
"Full loss, seed 0",1.001660704612732,1.0,1.053373919129736,0.7328129410743713,0.5037355422973633,0.7945742607116699,9.098194186663022e-05,0.00020547949225147022
"No Soft-MED, seed 0",1.0017694234848022,1.0000001192092896,1.0539875282345026,0.7466440796852112,0.5057051777839661,0.7940762042999268,0.00014381287701326073,0.00023193009928945685
"Full loss, seed 1",1.0043655633926392,0.9999999403953552,1.0368753218092195,0.7470212578773499,0.504300594329834,0.7943240404129028,0.00013720826120788843,0.0003219049103790894
"Full loss, seed 2",0.9981184005737305,0.9999998807907104,1.033862479564991,0.7329897284507751,0.504447340965271,0.7939951419830322,0.00016570077059441246,0.00047582684055669233
