training_seed,error_count,total_bits,BER,across_seed_mean_BER,across_seed_sample_std,across_seed_CV
0,21290,61440000,0.00034651692708333333,0.0003508680555555555,4.833637286454282e-06,0.013776225022254661
1,21505,61440000,0.00035001627604166666,0.0003508680555555555,4.833637286454282e-06,0.013776225022254661
2,21877,61440000,0.00035607096354166665,0.0003508680555555555,4.833637286454282e-06,0.013776225022254661
