label,source_global_es,normalized_global_es,user_energy_max_min_ratio,peak_codeword_energy,nonzero_magnitude_min,nonzero_magnitude_q25,nonzero_magnitude_median,nonzero_magnitude_q75,nonzero_magnitude_max,nonzero_magnitude_mean,nonzero_magnitude_cv,mean_resource_minimum_superposition_distance_squared,mean_resource_q05_nearest_neighbor_distance_squared
Fixed-point training,1.001660704612732,1.0,1.053373919129736,0.7328129410743713,0.20897294580936432,0.26598918437957764,0.5050902366638184,0.7775243520736694,0.8263500928878784,0.5156219005584717,0.5037355422973633,9.098194186663022e-05,0.00020547949225147022
Randomized training,1.0014185905456543,1.0,1.109945938978961,0.7653564810752869,0.18926554918289185,0.2765556275844574,0.501636803150177,0.7474194169044495,0.8519025444984436,0.5160978436470032,0.5014534592628479,0.0002729689731495455,0.0006719122102367692
