step,ebn0_low_db,ebn0_high_db,epsilon_low,epsilon_high,pn_sigma_low,pn_sigma_high,loss_low,loss_high,total_loss,ber_low,ber_high,learning_rate,elapsed_seconds
0,5,22,0.0013710975600505471,0.044198384868118286,0.0017828508889016917,0.0015424016416197078,0.2897050380706787,0.1315200924873352,1.6734278202056885,0.08337657153606415,0.0029551188927143812,0.0005,0.7211271999995006
50,15,30,0.029236195485740565,0.029025199035391854,0.0018526560648094775,0.00014135148595577617,0.028968557715415955,0.001999934669584036,0.10881412774324417,0.00516510009765625,1.52587890625e-05,0.0005,21.33628829999998
100,1,31,0.05171748231823531,0.0536715032844144,0.002514433371568532,0.0018500740167426977,0.6095208525657654,4.0302205085754395,40.97115707397461,0.1943105161190033,0.00930023193359375,0.0005,41.018593199999486
150,1,23,0.02796712944179859,0.0045156010272028825,0.0025278836577390554,0.002266875257813768,0.5753363966941833,0.0005000613746233284,0.6470824480056763,0.18032583594322205,0.00010172526526730508,0.0005,60.22754769999938
200,3,32,0.04563622056640677,0.028435931802593444,0.0008296601734085901,0.0014863416960320087,0.47783154249191284,0.006805689539760351,0.6061558723449707,0.1471455991268158,5.086263263365254e-05,0.0005,80.5069810999994
250,19,24,0.04132843349904794,0.05549875079604488,0.002493015450408983,0.0025597208132410658,0.11855801939964294,1.0732965469360352,10.859689712524414,0.0052337646484375,0.01409912109375,0.0005,102.10012529999949
300,5,31,0.02326407151278736,0.014888237087408464,0.0024159156228992723,0.002056706719614485,0.33181238174438477,0.013385122641921043,0.5288290977478027,0.09656016528606415,8.646647620480508e-05,0.0005,122.55380079999941
350,13,32,0.02498011765953323,0.036470148717694606,0.0027292481286624783,0.0013138167953013686,0.04847165197134018,0.18855011463165283,1.9805153608322144,0.009340922348201275,0.00046284994459711015,0.0005,142.8774900999997
400,4,22,0.020164532401694014,0.03263864518028476,0.001594031815885866,0.0014645971525383107,0.36839792132377625,0.01568334549665451,0.5840857028961182,0.10905711352825165,0.0005772908916696906,0.0005,163.8481697999996
450,5,23,0.014111703108845344,0.02412511074311356,0.0024231794439819434,0.0001829058947393608,0.33259648084640503,0.0005624625482596457,0.39752453565597534,0.09789276123046875,0.00010172526526730508,0.0005,184.09541489999992
500,15,25,0.049301854766119396,0.01948543760439947,0.0009603742743872648,0.0010154550247503892,0.09387938678264618,5.459522071760148e-05,0.13415610790252686,0.0136082973331213,1.0172526344831567e-05,0.0005,203.70462039999984
550,9,31,0.03409108698148282,0.0075026280597783575,0.0023982857985878187,0.001616582771680835,0.16377048194408417,6.050677257007919e-06,0.21341392397880554,0.04375457763671875,2.543131586207892e-06,0.0005,223.9148783999999
600,14,29,0.056317767317781146,0.05396693714266785,0.00026972069100465626,0.0024306712846118663,0.17140020430088043,3.0818283557891846,31.017240524291992,0.02498626708984375,0.01131439208984375,0.0005,244.27675309999995
650,12,28,0.052608070112540074,0.03421425565511404,0.0005506326041776961,0.0016940776149532422,0.1544741690158844,0.030764862895011902,0.5000813007354736,0.0322774276137352,0.00042470297194086015,0.0005,262.75377260000005
700,7,33,0.009534786895487512,0.048885592023461134,0.002445041487195946,0.0026668980619869572,0.19364163279533386,5.864698886871338,58.89316177368164,0.05426788330078125,0.009302775375545025,0.0005,281.49364439999954
750,5,24,0.012625565822650755,0.006031676867002722,0.0003090387235687222,0.0018264107018312516,0.29714927077293396,0.00016273089568130672,0.35906532406806946,0.0859781950712204,5.086263263365254e-05,0.0005,300.51248119999946
800,9,35,0.037049167922292306,0.04832164768363876,0.0009897468777184599,0.0025679962357230963,0.1591234803199768,8.607187271118164,86.27944946289062,0.0421244315803051,0.0079345703125,0.0005,320.3142061999997
850,7,33,0.0012991360656852157,0.028300820052795155,0.002567558167865372,0.0016863119352135384,0.19386199116706848,0.010523058474063873,0.34968215227127075,0.05392710492014885,5.340576171875e-05,0.0005,343.5895598999996
900,6,31,0.0020183493588291166,0.038300298372639555,0.0016408224041802066,0.001534581697453826,0.2286585122346878,0.11322100460529327,1.4092296361923218,0.0646158903837204,0.0006052653188817203,0.0005,364.43892330000017
950,18,31,0.04177442017823809,0.0584615278867969,0.0005117242864532284,0.0003088900106355347,0.017444085329771042,2.421088695526123,24.23651123046875,0.0024439494591206312,0.0084355678409338,0.0005,385.3310763999998
1000,2,27,0.05763094605843074,0.04000046465225218,0.000427238086064578,0.002555346455452178,0.5466712713241577,0.37157055735588074,4.319849491119385,0.1718597412109375,0.00273895263671875,0.0005,406.0482062000001
1050,13,25,0.022826563808034456,0.024116300361343112,8.663353005040698e-05,0.0011525983201887576,0.027315130457282066,0.0003393171646166593,0.08175263553857803,0.006418864242732525,3.814697265625e-05,0.0005,426.1873878999995
1100,12,31,0.0002648177793736095,0.007682672326466879,0.0006973937190695061,0.0025742347259129707,0.02846314013004303,1.4464662854152266e-05,0.0795489028096199,0.0071309409104287624,5.086263172415784e-06,0.0005,446.9627220000002
1150,15,26,0.02946540733208443,0.00395832526175921,0.0027000561455738296,0.0016306099815347713,0.03771468997001648,2.7852680432260968e-05,0.09411493688821793,0.006205241195857525,1.0172526344831567e-05,0.0005,469.3570351999997
1200,12,29,0.0037192672336792084,0.016022451005826777,0.0003259047130082657,0.0029861936126096373,0.03639636188745499,0.015437968075275421,0.24900983273983002,0.008761088363826275,8.646647620480508e-05,0.0005,493.1070910999997
1250,14,27,0.03634387570329079,0.035078088903028035,0.002754418560024873,0.0018031418167390864,0.06945745646953583,0.05243049934506416,0.6321113705635071,0.011507670395076275,0.0005340576171875,0.0005,514.6234390999998
1300,5,24,0.016945587448777995,0.011760129743965154,0.00015485705408535512,0.0024721544484293356,0.3197048008441925,0.00017994517111219466,0.3817664086818695,0.09264373779296875,3.306071084807627e-05,0.0005,535.2456916000001
1350,8,31,0.05642048034456097,0.017953337277901348,0.0023234509192728236,0.0026800043828613548,0.3228285312652588,0.006325774360448122,0.4254439175128937,0.084228515625,5.849202716490254e-05,0.0005,556.1873391999998
1400,12,35,0.053328550536989636,0.047960812281003413,0.002395221677268529,0.0018212659654234882,0.2394169569015503,3.376401424407959,34.0367546081543,0.0395253524184227,0.0041020712815225124,0.0005,577.1848309999996
