condition,error_count,total_bits,BER,no_med_vs_full_relative_change,paired_OFDM_p,BER_difference_CI95_low,BER_difference_CI95_high
Full loss,20326,61440000,0.00033082682291666666,0.03896487257699488,3.165903188060426e-06,7.469839681805478e-06,1.8311410318194526e-05
Without Soft-MED,21118,61440000,0.00034371744791666665,0.03896487257699488,3.165903188060426e-06,7.469839681805478e-06,1.8311410318194526e-05
