codebook,source_global_es,normalized_global_es,user_1_average_energy,user_2_average_energy,user_3_average_energy,user_4_average_energy,user_5_average_energy,user_6_average_energy,user_energy_min,user_energy_max,user_energy_max_min_ratio,peak_codeword_energy
Proposed,1.001660704612732,1.0,0.6623097062110901,0.6690794229507446,0.6801755428314209,0.6842663288116455,0.6545253396034241,0.6495948433876038,0.6495948433876038,0.6842663288116455,1.053374015783795,0.7328129410743713
Deka,1.6758301258087158,1.0,0.5967129468917847,0.5967129468917847,0.5904785394668579,0.8128085136413574,0.5904785394668579,0.8128085136413574,0.5904785394668579,0.8128085136413574,1.3765250713010517,0.8210920691490173
Li,1.500093936920166,0.9999999403953552,0.7838937044143677,0.7838937044143677,0.4322124421596527,0.4322124421596527,0.7838937044143677,0.7838937044143677,0.4322124421596527,0.7838937044143677,1.8136768587629166,0.8524023294448853
Zhang,2.9998488426208496,1.0,0.6666541695594788,0.6666541695594788,0.6666706800460815,0.6666750907897949,0.6666706800460815,0.6666750907897949,0.6666541695594788,0.6666750907897949,1.0000313824337588,0.6666889786720276
Zheng,3.000025749206543,1.0,0.6422866582870483,0.6474027633666992,0.6962694525718689,0.7020940780639648,0.6502761244773865,0.6616533398628235,0.6422866582870483,0.7020940780639648,1.09311639749208,1.0683003664016724
PN-resilient,1.499971628189087,1.0,0.7494633197784424,0.7494633197784424,0.5010733008384705,0.5010733008384705,0.7494633197784424,0.7494633197784424,0.5010733008384705,0.7494633197784424,1.4957159332263938,0.7835299968719482
